timestamp,pm10,pm25,carbon_monoxide,nitrogen_dioxide,temperature,humidity,wind_speed,aqi
2022-08-05 00:00:00+05:00,58.3375,28.2125,507.4166666666667,22.725,28.6125,85.5,16.029166666666665,85.0
2022-08-06 00:00:00+05:00,51.71666666666667,27.46666666666667,431.9583333333333,22.1375,28.21666666666667,86.41666666666667,16.983333333333334,85.0
2022-08-07 00:00:00+05:00,89.125,57.62916666666666,944.125,39.29166666666666,28.479166666666668,88.95833333333333,12.583333333333334,258.0
2022-08-08 00:00:00+05:00,103.12916666666666,64.52083333333333,1150.5,46.79583333333333,28.90833333333333,87.125,13.4,238.0
2022-08-09 00:00:00+05:00,77.5625,54.0375,849.0,50.87083333333334,29.5625,86.20833333333333,10.183333333333334,156.0
2022-08-10 00:00:00+05:00,156.36666666666667,108.3875,1297.5833333333333,65.39166666666667,29.204166666666666,89.20833333333333,9.979166666666666,187.0
2022-08-11 00:00:00+05:00,122.84583333333332,83.28750000000001,1163.0416666666667,49.07083333333333,29.42083333333333,86.20833333333333,16.3,253.0
2022-08-12 00:00:00+05:00,49.29166666666666,31.21666666666667,605.75,34.49166666666667,28.079166666666666,86.16666666666667,24.40416666666667,165.0
2022-08-13 00:00:00+05:00,48.94166666666667,32.1375,704.0,35.56666666666667,27.175,86.70833333333333,17.095833333333335,149.0
2022-08-14 00:00:00+05:00,39.90833333333333,24.97083333333333,475.9166666666667,20.325,27.52083333333333,83.75,17.599999999999998,159.0
2022-08-15 00:00:00+05:00,38.45,25.370833333333334,678.125,47.37916666666666,27.704166666666666,87.0,12.4875,82.0
2022-08-16 00:00:00+05:00,43.645833333333336,28.066666666666663,644.25,39.54166666666666,27.64583333333333,87.08333333333333,8.391666666666667,84.0
2022-08-17 00:00:00+05:00,28.791666666666668,19.054166666666667,435.0416666666667,21.5125,27.854166666666668,87.79166666666667,20.008333333333333,85.0
2022-08-18 00:00:00+05:00,42.03333333333333,22.23333333333333,271.5,13.645833333333334,27.8375,87.16666666666667,29.016666666666666,71.0
2022-08-19 00:00:00+05:00,46.5125,22.1,234.125,12.4,27.475,87.33333333333333,28.429166666666664,74.0
2022-08-20 00:00:00+05:00,49.39166666666667,22.729166666666668,275.9583333333333,13.166666666666666,27.604166666666668,87.0,22.866666666666664,73.0
2022-08-21 00:00:00+05:00,53.56666666666666,24.104166666666668,314.0,14.854166666666666,27.683333333333334,87.20833333333333,22.45,76.0
2022-08-22 00:00:00+05:00,55.3375,24.116666666666664,307.125,13.975,27.829166666666666,84.58333333333333,18.754166666666663,76.0
2022-08-23 00:00:00+05:00,52.99583333333334,23.854166666666668,358.0833333333333,16.650000000000002,27.23333333333333,86.0,18.375,76.0
2022-08-24 00:00:00+05:00,56.2,25.383333333333336,296.0,15.275,27.20833333333333,84.41666666666667,23.5625,78.0
2022-08-25 00:00:00+05:00,58.25416666666666,26.9875,254.5,11.9875,27.95,81.375,25.758333333333336,82.0
2022-08-26 00:00:00+05:00,60.49583333333334,27.383333333333336,278.5833333333333,13.5875,27.445833333333336,80.79166666666667,20.2125,84.0
2022-08-27 00:00:00+05:00,50.5,23.95,283.0416666666667,13.116666666666667,27.10833333333333,81.54166666666667,20.73333333333333,83.0
2022-08-28 00:00:00+05:00,41.18333333333333,20.541666666666668,251.75,10.945833333333333,27.291666666666668,79.25,22.7375,75.0
2022-08-29 00:00:00+05:00,43.75833333333333,21.97083333333333,308.9583333333333,14.6625,27.329166666666666,78.79166666666667,17.408333333333335,71.0
2022-08-30 00:00:00+05:00,47.275,23.479166666666668,391.5,19.3375,27.4,81.58333333333333,11.295833333333334,76.0
2022-08-31 00:00:00+05:00,40.59583333333333,20.55,359.2916666666667,16.979166666666668,27.27083333333333,84.5,12.9,74.0
2022-09-01 00:00:00+05:00,30.870833333333334,16.2375,290.625,13.029166666666669,27.620833333333334,84.20833333333333,20.341666666666665,68.0
2022-09-02 00:00:00+05:00,37.5875,19.216666666666665,362.25,16.349999999999998,27.725,83.04166666666667,16.570833333333333,65.0
2022-09-03 00:00:00+05:00,35.12916666666667,19.079166666666666,298.2083333333333,11.720833333333331,27.6625,82.16666666666667,22.041666666666668,65.0
2022-09-04 00:00:00+05:00,51.92916666666667,28.59583333333333,274.0416666666667,10.020833333333334,27.616666666666664,80.04166666666667,32.416666666666664,89.0
2022-09-05 00:00:00+05:00,41.65833333333333,21.433333333333334,258.2916666666667,10.8875,27.64583333333333,77.5,25.65833333333333,87.0
2022-09-06 00:00:00+05:00,44.05,23.641666666666666,354.7083333333333,16.416666666666668,27.39583333333333,79.45833333333333,15.866666666666667,75.0
2022-09-07 00:00:00+05:00,43.0875,23.83333333333333,480.625,23.60833333333333,26.991666666666664,84.58333333333333,12.741666666666667,75.0
2022-09-08 00:00:00+05:00,60.65416666666667,36.36666666666667,766.875,34.729166666666664,27.6625,84.125,12.75,203.0
2022-09-09 00:00:00+05:00,83.34166666666667,52.87916666666666,798.375,31.3,29.679166666666664,76.75,14.408333333333331,229.0
2022-09-10 00:00:00+05:00,126.83333333333331,84.8625,1069.4583333333333,38.97916666666666,30.8625,72.20833333333333,12.929166666666667,285.0
2022-09-11 00:00:00+05:00,64.47500000000001,41.458333333333336,754.0,28.204166666666666,29.604166666666668,77.66666666666667,16.045833333333334,228.0
2022-09-12 00:00:00+05:00,98.1,64.35833333333333,973.875,38.19166666666667,28.945833333333336,83.125,13.1375,261.0
2022-09-13 00:00:00+05:00,69.3625,43.875,893.25,40.4875,29.891666666666666,77.625,15.345833333333331,220.0
